Mode,MNLC,MASC,Station,Coverage,Source,Entries_Monday,Entries_midweek,Entries_Friday,Entries_Saturday,Entries_Sunday,Exits_Monday,Exits_midweek,Exits_Friday,Exits_Saturday,Exits_Sunday,En/Ex_weekly,En/Ex_12week,En/Ex_annual
LU,659,NWBu,North Wembley,Station entry/exit,Gateline,"2,085","2,209","2,156","1,378",924,"1,968","2,063","1,985","1,324",948,"25,585","307,016","1,204,024"
LU,655,NFDu,Northfields,Station entry/exit,Gateline,"3,924","4,621","4,314","3,567","2,509","3,868","4,429","4,196","3,628","2,649","55,804","669,653","2,626,178"
LU,657,NHTu,Northolt,Station entry/exit,Gateline,"6,526","6,886","6,823","5,549","3,639","6,197","6,586","6,437","5,030","3,555","84,171","1,010,047","3,961,099"
LU,660,NWPu,Northwick Park,Station entry/exit,Gateline,"5,532","5,821","5,464","3,474","2,296","5,494","5,680","5,137","3,116","2,305","67,320","807,835","3,168,082"
LU,661,NWDu,Northwood,Station entry/exit,Gateline,"3,248","3,722","3,500","2,428","1,453","3,267","3,712","3,445","2,319","1,483","43,446","521,348","2,044,570"
LU,662,NWHu,Northwood Hills,Station entry/exit,Gateline,"2,187","2,478","2,330","1,653","1,000","2,110","2,356","2,195","1,511","1,006","28,494","341,926","1,340,929"
LU,663,NHGu,Notting Hill Gate,Station entry/exit,Gateline,"15,188","17,733","18,204","21,853","12,778","15,580","18,125","19,056","24,511","13,757","248,501","2,982,013","11,694,553"
LU,664,OAKu,Oakwood,Station entry/exit,Gateline,"3,093","3,541","3,465","3,362","2,573","3,230","3,742","3,598","3,549","2,694","47,413","568,951","2,231,254"
LU,665,OLDu,Old Street,Station entry/exit,Gateline,"22,009","29,355","24,932","21,507","13,342","22,147","29,349","26,612","24,145","12,968","343,773","4,125,272","16,178,065"
LU,667,OSTu,Osterley,Station entry/exit,Gateline,"2,515","3,129","2,593","2,573","1,640","2,541","2,992","2,547","2,475","1,671","36,918","443,013","1,737,364"
LU,668,OVLu,Oval,Station entry/exit,Gateline,"7,519","9,616","8,742","7,904","5,167","7,318","9,116","8,335","7,589","5,150","113,920","1,367,039","5,361,113"
LU,669,OXCu,Oxford Circus,Station entry/exit,Gateline,"69,699","84,906","81,556","80,279","49,391","78,900","97,027","91,864","94,933","55,529","1,147,948","13,775,375","54,022,846"
